text,question,answer
"Question: There are more than 16,000 publicly owned wastewater treatment systems in the United States.","There are more than 16,000 publicly owned wastewater treatment systems in the United States.",how many wastewater treatment plants in us
"Question: Detrital or clastic sedimentary rocks are composed of rock fragments. They are different than chemical sedimentary rocks, which are composed of mineral crystals.","Detrital or clastic sedimentary rocks are composed of rock fragments. They are different than chemical sedimentary rocks, which are composed of mineral crystals.",types of sedimentary rocks detrital and clastic
Question: 40 to 55 years,40 to 55 years,when do saguaro cactus bloom
Question: Hope and LifeHope,Hope and LifeHope,meaning for name asha
Question: Pharmacists can administer herpes zoster and pneumococcal and travel vaccines in Ohio.,Pharmacists can administer herpes zoster and pneumococcal and travel vaccines in Ohio.,what vaccines can pharmacists administer ohio
Question: Dutch,Dutch,what language is spoken in amsterdam
Question: A type of imaging test.,A type of imaging test.,what is a thermogram
Question: Participative budgeting system involve all functions to provide their valuable inputs in while setting up the budget process and it follow bottom up approach and all the managers take active part in it.,Participative budgeting system involve all functions to provide their valuable inputs in while setting up the budget process and it follow bottom up approach and all the managers take active part in it.,advantages of participative approach to budgeting is
Question: $9.83 - $13.74 per square foot.,$9.83 - $13.74 per square foot.,average cost for installation of ceramic tile
"Question: Atlantic (the largest and most endangered)Atlantic (the largest and most endangered), Pacific, and Southern. Most catches of the Atlantic bluefin tuna are taken from the Mediterranean Sea, which is the most important bluefin tuna fishery in the world.","Atlantic (the largest and most endangered)Atlantic (the largest and most endangered), Pacific, and Southern. Most catches of the Atlantic bluefin tuna are taken from the Mediterranean Sea, which is the most important bluefin tuna fishery in the world.",what kind of endangerment is the bluefin tuna
Question: The most common cause of  Lumbar Lordosis is generally due to holding a poor posture and muscle imbalances that develop over time.,The most common cause of  Lumbar Lordosis is generally due to holding a poor posture and muscle imbalances that develop over time.,causes of lumbar lordosis loss
"Question: The EIA shows an average retail price of $0.1231 per kilowatt-hour (kWh) and Pacific Gas & Electric in Northern California offers an EV rate plan, which sets the price at $0.04 per kWh when charging after midnight.","The EIA shows an average retail price of $0.1231 per kilowatt-hour (kWh) and Pacific Gas & Electric in Northern California offers an EV rate plan, which sets the price at $0.04 per kWh when charging after midnight.",average wattage ev charging stations
Question: Computed tomography or CT scans are completed with the use of a 360-degree x-ray beam and computer production of images.,Computed tomography or CT scans are completed with the use of a 360-degree x-ray beam and computer production of images.,what does ct scan mean
"Question: Proper noun,Collective Nouns and Abstract Nouns.","Proper noun,Collective Nouns and Abstract Nouns.",what are all the types of nouns
"Question: A broad philosophy, ideology and social movement regarding concerns for environmental protection and improvement of the health of the environment, particularly as the measure for this health seeks to incorporate the concerns of non-human elements.","A broad philosophy, ideology and social movement regarding concerns for environmental protection and improvement of the health of the environment, particularly as the measure for this health seeks to incorporate the concerns of non-human elements.",what is environmentalism
Question: 1-2 hours.,1-2 hours.,how long does it take for adderall to work in adults
"Question: Shiva (Hebrew: שבעה ‎, literally seven) is the week-long mourning period in Judaism for first-degree relatives: father, mother, son, daughter, brother, sister, and spouse.","Shiva (Hebrew: שבעה ‎, literally seven) is the week-long mourning period in Judaism for first-degree relatives: father, mother, son, daughter, brother, sister, and spouse.",what is shiva
Question: Christianity,Christianity,what is the world's largest religion
Question: Chavez would find illegal aliens and turn them in to immigration.,Chavez would find illegal aliens and turn them in to immigration.,cesar chavez against illegal aliens
Question: A shopping website formerly called Taobao Mall.,A shopping website formerly called Taobao Mall.,what is tmall
Question: B vitamin,B vitamin,what form is folate in food
Question: Deep shade of brown.,Deep shade of brown.,what color is honey blonde on black hair
Question: St. Lawrence in Canada to northeastern Florida in USA.,St. Lawrence in Canada to northeastern Florida in USA.,where do atlantic silversides spawn
Question: The flu season ends in May.,The flu season ends in May.,when does flu season ends
Question: United States,United States,kumpula name nationality
"Question: Yes, Fire TV Stick is $24 for Prime Day.","Yes, Fire TV Stick is $24 for Prime Day.",can i do prime day on fire stick
Question: Divinely supplied spiritual nourishment,Divinely supplied spiritual nourishment,definition of manna in the bible
Question: Aruba,Aruba,where is oranjestad
"Question: Bananas, rice, applesauce and toast.","Bananas, rice, applesauce and toast.",what foods are good to eat with diarrhea
